dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,region,obj,opcode_sim
0x0800e718,24,last_encoder_activity_trigger,0x0800c7c8,24,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,keyboard.o,1.000
0x0800e730,2,matrix_setup,0x0800c7e0,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,keyboard.o,1.000
0x0800e732,2,keyboard_pre_init_user,0x0800c7e2,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,keyboard.o,1.000
0x0800e734,8,keyboard_pre_init_kb,0x0800c7e4,8,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,keyboard.o,1.000
0x0800e73c,4,matrix_can_read,0x0800c7ee,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,keyboard.o,1.000
0x0800e740,28,keyboard_setup,0x0800c7f4,28,2.20,match; entry=bl; callgraph 5/5; opsim=1.00,,keyboard.o,1.000
0x0800e75c,4,is_keyboard_master,0x0800c810,4,1.90,match; entry=bl; callgraph 2/2; opsim=1.00,,keyboard.o,1.000
0x0800e760,8,should_process_keypress,0x0800c814,8,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,keyboard.o,1.000
0x0800e768,2,housekeeping_task_user,0x0800c81c,2,1.90,HOOK-DEFAULT: housekeeping_task_user (2 B default stub; BL from housekeeping_task @0x0800e76a); match; entry=bl; callgraph 1/1; opsim=1.00,,keyboard.o,1.000
0x0800e76a,12,housekeeping_task,0x0800c81e,12,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,keyboard.o,1.000
0x0800e776,18,quantum_init,0x0800c82a,18,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,keyboard.o,1.000
0x0800e788,28,keyboard_init,0x0800c83c,28,2.20,match; entry=bl; callgraph 7/7; opsim=1.00,,keyboard.o,1.000
0x0800e7a4,20,quantum_task,0x0800c858,20,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,keyboard.o,1.000
0x0800e7b8,248,keyboard_task,0x0800c86c,248,2.20,match; entry=bl; callgraph 15/16; opsim=0.95,,keyboard.o,0.945
0x0800e8b0,436,action_for_keycode,0x0800c964,432,4.27,match; callgraph 2/2; opsim=0.91,,keymap_common.o,0.907
0x0800ea64,58,keymap_key_to_keycode,0x0800cb14,58,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,keymap_common.o,1.000
0x0800ea9e,22,action_for_key,0x0800cb4e,22,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,keymap_common.o,1.000
0x0800eab4,264,keycode_config,0x0800cb64,264,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,keycode_config.o,1.000
0x0800ebbc,196,mod_config,0x0800cc6c,196,1.90,match; entry=bl; callgraph 1/1; opsim=0.66,,keycode_config.o,0.662
0x0800ec80,4,sendchar,0x0800cd30,4,1.90,match; entry=ptr; opsim=1.00,,sendchar.o,1.000
0x0800ec84,4,null_sendchar_func,0x0800cd34,4,1.90,match; entry=ptr; opsim=1.00,,print.o,1.000
0x0800ec88,12,print_set_sendchar,0x0800cd38,12,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,print.o,1.000
0x0800ec94,4,bootmagic_lite_reset_eeprom,0x0800cd44,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,bootmagic_lite.o,1.000
0x0800ec98,42,bootmagic_lite,0x0800cd48,42,2.50,match; entry=bl; callgraph 5/5; opsim=1.00,,bootmagic_lite.o,1.000
0x0800ecc2,10,bootmagic,0x0800cd72,8,1.60,match; entry=bl; callgraph 2/2; opsim=0.86,,bootmagic_lite.o,0.857
0x0800eccc,64,magic,0x0800cd7c,64,2.20,match; entry=bl; callgraph 8/8; opsim=1.00,,magic.o,1.000
