entry,size,name,n_callers,n_callees,is_thunk,signature,strings
0x0800CCF0,36,FUN_0800ccf0,1,1,0,"undefined4 FUN_0800ccf0(undefined4 param_1, undefined4 param_2, undefined4 param_3)",
0x0800CD18,32,FUN_0800cd18,1,2,0,"undefined4 FUN_0800cd18(int param_1, undefined4 param_2, undefined4 param_3)",
0x0800CD38,66,FUN_0800cd38,1,6,0,"undefined FUN_0800cd38(void)",
0x0800CD88,38,FUN_0800cd88,1,1,0,"undefined4 FUN_0800cd88(void)",
0x0800CDB8,28,FUN_0800cdb8,1,1,0,"bool FUN_0800cdb8(void)",
0x0800CDD8,2,FUN_0800cdd8,0,0,0,"undefined FUN_0800cdd8(void)",
0x0800CDDA,26,FUN_0800cdda,1,3,0,"undefined FUN_0800cdda(void)",
0x0800CDF4,10,FUN_0800cdf4,1,1,0,"undefined FUN_0800cdf4(void)",
0x0800CDFE,354,FUN_0800cdfe,1,5,0,"undefined FUN_0800cdfe(void)",
0x0800CF60,18,FUN_0800cf60,1,2,0,"undefined FUN_0800cf60(void)",
0x0800CF74,130,FUN_0800cf74,1,2,0,"undefined4 FUN_0800cf74(uint param_1, uint param_2)",
0x0800D010,110,FUN_0800d010,0,1,0,"undefined FUN_0800d010(uint param_1)",
0x0800D088,4,thunk_FUN_0800d010,1,0,1,"undefined thunk_FUN_0800d010(uint param_1)",
0x0800D08C,4,thunk_FUN_0800d010,1,0,1,"undefined thunk_FUN_0800d010(uint param_1)",
0x0800D090,32,FUN_0800d090,1,0,0,"ushort * FUN_0800d090(uint param_1)",
0x0800D0B4,66,FUN_0800d0b4,1,6,0,"undefined4 FUN_0800d0b4(uint param_1)",
0x0800D104,180,process_record_user,1,6,0,"int process_record_user(uint param_1, int param_2)",
0x0800D1C4,38,FUN_0800d1c4,1,0,0,"undefined4 FUN_0800d1c4(int param_1)",
0x0800D1EC,104,FUN_0800d1ec,0,5,0,"undefined FUN_0800d1ec(int param_1)",
0x0800D25C,26,FUN_0800d25c,1,2,0,"undefined FUN_0800d25c(int param_1)",
0x0800D27C,36,keycode_at_keymap_location_raw,0,0,0,"ushort keycode_at_keymap_location_raw(uint param_1, uint param_2, uint param_3)",
0x0800D2A4,4,keycode_at_keymap_location,1,0,1,"ushort keycode_at_keymap_location(uint param_1, uint param_2, uint param_3)",
0x0800D2A8,26,keycode_at_encodermap_location_raw,0,0,0,"undefined2 keycode_at_encodermap_location_raw(uint param_1, int param_2, uint param_3)",
0x0800D2C8,4,keycode_at_encodermap_location,1,0,1,"undefined2 keycode_at_encodermap_location(uint param_1, int param_2, uint param_3)",
0x0800D2CC,4,FUN_0800d2cc,1,0,0,"undefined4 FUN_0800d2cc(void)",
0x0800D2D0,8,FUN_0800d2d0,1,1,0,"undefined FUN_0800d2d0(void)",
0x0800D2D8,4,process_action_kb,1,0,0,"undefined4 process_action_kb(void)",
0x0800D2DC,2,FUN_0800d2dc,1,0,0,"undefined FUN_0800d2dc(void)",
0x0800D2DE,8,FUN_0800d2de,1,1,0,"undefined FUN_0800d2de(void)",
0x0800D2E8,70,get_event_keycode,1,4,0,"ushort get_event_keycode(uint param_1, undefined4 param_2, int param_3)",
0x0800D334,24,get_record_keycode,5,1,0,"ushort get_record_keycode(uint * param_1, int param_2)",
0x0800D34C,18,FUN_0800d34c,1,2,0,"undefined FUN_0800d34c(uint * param_1)",
0x0800D35E,18,FUN_0800d35e,1,2,0,"undefined FUN_0800d35e(uint * param_1)",
0x0800D370,4,FUN_0800d370,1,0,0,"undefined4 FUN_0800d370(void)",
0x0800D374,8,FUN_0800d374,1,1,0,"undefined FUN_0800d374(void)",
0x0800D37C,26,FUN_0800d37c,2,3,0,"undefined FUN_0800d37c(void)",
0x0800D396,16,reset_keyboard,1,2,0,"undefined reset_keyboard(void)",
0x0800D3A6,16,soft_reset_keyboard,1,2,0,"undefined soft_reset_keyboard(void)",
0x0800D3B6,166,process_record_quantum,1,13,0,"undefined4 process_record_quantum(uint * param_1)",
0x0800D45C,24,FUN_0800d45c,1,4,0,"undefined FUN_0800d45c(void)",
0x0800D474,20,FUN_0800d474,1,3,0,"undefined FUN_0800d474(void)",
0x0800D488,40,get_highest_layer,2,0,0,"int get_highest_layer(uint param_1)",
0x0800D4B0,2,FUN_0800d4b0,1,0,0,"undefined FUN_0800d4b0(void)",
0x0800D4B2,4,FUN_0800d4b2,1,0,0,"undefined4 FUN_0800d4b2(void)",
0x0800D4B6,2,FUN_0800d4b6,1,0,0,"undefined FUN_0800d4b6(void)",
0x0800D4B8,2,FUN_0800d4b8,1,0,0,"undefined FUN_0800d4b8(void)",
0x0800D4BA,16,FUN_0800d4ba,4,2,0,"undefined FUN_0800d4ba(void)",
0x0800D4CA,10,FUN_0800d4ca,1,1,0,"undefined FUN_0800d4ca(void)",
0x0800D4D4,12,FUN_0800d4d4,1,2,0,"undefined FUN_0800d4d4(void)",
0x0800D4E0,34,FUN_0800d4e0,1,3,0,"undefined FUN_0800d4e0(void)",
0x0800D50C,64,FUN_0800d50c,3,3,0,"undefined FUN_0800d50c(uint param_1, uint param_2, uint param_3, undefined4 param_4)",
0x0800D54C,14,FUN_0800d54c,1,1,0,"undefined FUN_0800d54c(undefined2 * param_1, undefined4 param_2)",
